Poet,Title,Poem
"JAMES WELDON JOHNSON
","Brothers-American Drama
","(THE MOB SPEAKS:)

See! There he stands; not brave, but with an air   
Of sullen stupor. Mark him well! Is he
Not more like brute than man? Look in his eye!   
No light is there; none, save the glint that shines   
In the now glaring, and now shifting orbs
Of some wild animal caught in the hunter’s trap.

How came this beast in human shape and form?   
Speak man!—We call you man because you wear   
His shape—How are you thus? Are you not from   
That docile, child-like, tender-hearted race   
Which we have known three centuries? Not from   
That more than faithful race which through three wars   
Fed our dear wives and nursed our helpless babes   
Without a single breach of trust? Speak out!


(THE VICTIM SPEAKS:)

I am, and am not.


(THE MOB SPEAKS AGAIN:)

                            Then who, why are you?


(THE VICTIM SPEAKS AGAIN:)

I am a thing not new, I am as old
As human nature. I am that which lurks,   
Ready to spring whenever a bar is loosed;   
The ancient trait which fights incessantly   
Against restraint, balks at the upward climb;   
The weight forever seeking to obey   
The law of downward pull—and I am more:   
The bitter fruit am I of planted seed;   
The resultant, the inevitable end
Of evil forces and the powers of wrong.
Lessons in degradation, taught and learned,   
The memories of cruel sights and deeds,   
The pent-up bitterness, the unspent hate   
Filtered through fifteen generations have   
Sprung up and found in me sporadic life.   
In me the muttered curse of dying men,   
On me the stain of conquered women, and   
Consuming me the fearful fires of lust,   
Lit long ago, by other hands than mine.
In me the down-crushed spirit, the hurled-back prayers   
Of wretches now long dead—their dire bequests.   
In me the echo of the stifled cry
Of children for their battered mothers’ breasts.

I claim no race, no race claims me; I am   
No more than human dregs; degenerate;
The monstrous offspring of the monster, Sin;   
I am—just what I am. . . . The race that fed
Your wives and nursed your babes would do the same   
Today. But I—


(THE MOB CONCLUDES:)

                      Enough, the brute must die!   
Quick! Chain him to that oak! It will resist   
The fire much longer than this slender pine.   
Now bring the fuel! Pile it round him! Wait!   
Pile not so fast or high! or we shall lose   
The agony and terror in his face.
And now the torch! Good fuel that! the flames   
Already leap head-high. Ha! hear that shriek!   
And there’s another! wilder than the first.   
Fetch water! Water! Pour a little on
The fire, lest it should burn too fast. Hold so!   
Now let it slowly blaze again. See there!
He squirms! He groans! His eyes bulge wildly out,   
Searching around in vain appeal for help!   
Another shriek, the last! Watch how the flesh   
Grows crisp and hangs till, turned to ash, it sifts
Down through the coils of chain that hold erect   
The ghastly frame against the bark-scorched tree.

Stop! to each man no more than one man’s share.   
You take that bone, and you this tooth; the chain,   
Let us divide its links; this skull, of course,   
In fair division, to the leader comes.

And now his fiendish crime has been avenged;   
Let us back to our wives and children—say,   
What did he mean by those last muttered words,   
“Brothers in spirit, brothers in deed are we”?"
"JAMES WELDON JOHNSON
","An Explanation
","Look heah! ’Splain to me de reason
Why you said to Squire Lee,
Der wuz twelve ole chicken thieves
In dis heah town, includin’ me.
Ef he tole you dat, my brudder,
He said sump’n dat warn’t true;
W’at I said wuz dis, dat der wuz
Twelve, widout includin’ you.

Oh! . . . !—"
"JAMES WELDON JOHNSON
","Lift Ev’ry Voice and Sing
","Lift ev’ry voice and sing,   
Till earth and heaven ring,
Ring with the harmonies of Liberty;
Let our rejoicing rise
High as the list’ning skies,
Let it resound loud as the rolling sea.
Sing a song full of the faith that the dark past has taught us,
Sing a song full of the hope that the present has brought us;
Facing the rising sun of our new day begun,
Let us march on till victory is won.

Stony the road we trod,
Bitter the chast’ning rod,
Felt in the days when hope unborn had died;   
Yet with a steady beat,
Have not our weary feet
Come to the place for which our fathers sighed?
We have come over a way that with tears has been watered,
We have come, treading our path through the blood of the slaughtered,
Out from the gloomy past,   
Till now we stand at last
Where the white gleam of our bright star is cast.

God of our weary years,   
God of our silent tears,
Thou who has brought us thus far on the way;
Thou who has by Thy might,   
Led us into the light,
Keep us forever in the path, we pray.
Lest our feet stray from the places, our God, where we met Thee,
Lest our hearts, drunk with the wine of the world, we forget Thee;
Shadowed beneath Thy hand,   
May we forever stand.   
True to our God,
True to our native land.
"
"JAMES WELDON JOHNSON
","A Poet to His Baby Son
","Tiny bit of humanity,
Blessed with your mother’s face,   
And cursed with your father’s mind.

I say cursed with your father’s mind,
Because you can lie so long and so quietly on your back,   
Playing with the dimpled big toe of your left foot,   
And looking away,
Through the ceiling of the room, and beyond.
Can it be that already you are thinking of being a poet?

Why don’t you kick and howl,   
And make the neighbors talk about   
“That damned baby next door,”   
And make up your mind forthwith   
To grow up and be a banker
Or a politician or some other sort of go-getter   
Or—?—whatever you decide upon,   
Rid yourself of these incipient thoughts   
About being a poet.

For poets no longer are makers of songs,   
Chanters of the gold and purple harvest,   
Sayers of the glories of earth and sky,   
Of the sweet pain of love
And the keen joy of living;
No longer dreamers of the essential dreams,   
And interpreters of the eternal truth,   
Through the eternal beauty.
Poets these days are unfortunate fellows.   
Baffled in trying to say old things in a new way   
Or new things in an old language,   
They talk abracadabra
In an unknown tongue,
Each one fashioning for himself
A wordy world of shadow problems,
And as a self-imagined Atlas,
Struggling under it with puny legs and arms,   
Groaning out incoherent complaints at his load.

My son, this is no time nor place for a poet;   
Grow up and join the big, busy crowd   
That scrambles for what it thinks it wants   
Out of this old world which is—as it is—
And, probably, always will be.

Take the advice of a father who knows:   
You cannot begin too young   
Not to be a poet."
"JAMES WELDON JOHNSON
","Sence You Went Away
","Seems lak to me de stars don't shine so bright,   
Seems lak to me de sun done loss his light,   
Seems lak to me der's nothin' goin' right,
      Sence you went away.

Seems lak to me de sky ain't half so blue,   
Seems lak to me dat eve'ything wants you,   
Seems lak to me I don't know what to do,
      Sence you went away.

Seems lak to me dat eve'ything is wrong,   
Seems lak to me de day's jes twice ez long,   
Seems lak to me de bird's forgot his song,
      Sence you went away.

Seems lak to me I jes can't he’p but sigh,   
Seems lak to me ma th’oat keeps gittin’ dry,   
Seems lak to me a tear stays in ma eye,
      Sence you went away."
"JAMES WELDON JOHNSON
",Sonnet,"My heart be brave, and do not falter so,   
Nor utter more that deep, despairing wail.   
Thy way is very dark and drear I know,   
But do not let thy strength and courage fail;   
For certain as the raven-winged night
Is followed by the bright and blushing morn,   
Thy coming morrow will be clear and bright;   
’Tis darkest when the night is furthest worn.   
Look up, and out, beyond, surrounding clouds,   
And do not in thine own gross darkness grope,   
Rise up, and casting off thy hind’ring shrouds,   
Cling thou to this, and ever inspiring hope:
   Tho’ thick the battle and tho’ fierce the fight,
   There is a power making for the right."
CLAUDE MCKAY,"After the Winter
","Some day, when trees have shed their leaves
     And against the morning’s white
The shivering birds beneath the eaves
     Have sheltered for the night,
We’ll turn our faces southward, love,
     Toward the summer isle
Where bamboos spire the shafted grove
     And wide-mouthed orchids smile.

And we will seek the quiet hill
     Where towers the cotton tree,
And leaps the laughing crystal rill,
     And works the droning bee.
And we will build a cottage there
     Beside an open glade,
With black-ribbed blue-bells blowing near,
     And ferns that never fade."
CLAUDE MCKAY,America,"Although she feeds me bread of bitterness,
And sinks into my throat her tiger’s tooth,
Stealing my breath of life, I will confess
I love this cultured hell that tests my youth.
Her vigor flows like tides into my blood,
Giving me strength erect against her hate,
Her bigness sweeps my being like a flood.
Yet, as a rebel fronts a king in state,
I stand within her walls with not a shred
Of terror, malice, not a word of jeer.
Darkly I gaze into the days ahead,
And see her might and granite wonders there,
Beneath the touch of Time’s unerring hand,
Like priceless treasures sinking in the sand."
CLAUDE MCKAY,"December, 1919
","Last night I heard your voice, mother,
The words you sang to me
When I, a little barefoot boy,
Knelt down against your knee.

And tears gushed from my heart, mother,
And passed beyond its wall,
But though the fountain reached my throat
The drops refused to fall.

'Tis ten years since you died, mother,
Just ten dark years of pain,
And oh, I only wish that I
Could weep just once again.
"
CLAUDE MCKAY,"Harlem Shadows
","I hear the halting footsteps of a lass
In Negro Harlem when the night lets fall
Its veil. I see the shapes of girls who pass
To bend and barter at desire's call.
Ah, little dark girls who in slippered feet
Go prowling through the night from street to street!

Through the long night until the silver break
Of day the little gray feet know no rest;
Through the lone night until the last snow-flake
Has dropped from heaven upon the earth's white breast,
The dusky, half-clad girls of tired feet
Are trudging, thinly shod, from street to street.

Ah, stern harsh world, that in the wretched way
Of poverty, dishonor and disgrace,
Has pushed the timid little feet of clay,
The sacred brown feet of my fallen race!
Ah, heart of me, the weary, weary feet
In Harlem wandering from street to street.
"
CLAUDE MCKAY,"If We Must Die
","If we must die, let it not be like hogs
Hunted and penned in an inglorious spot,
While round us bark the mad and hungry dogs,
Making their mock at our accursèd lot.
If we must die, O let us nobly die,
So that our precious blood may not be shed
In vain; then even the monsters we defy
Shall be constrained to honor us though dead!
O kinsmen! we must meet the common foe!
Though far outnumbered let us show us brave,
And for their thousand blows deal one death-blow!
What though before us lies the open grave?
Like men we’ll face the murderous, cowardly pack,
Pressed to the wall, dying, but fighting back!"
CLAUDE MCKAY,"Joy in the Woods
","There is joy in the woods just now,
       The leaves are whispers of song,
And the birds make mirth on the bough
       And music the whole day long,
And God! to dwell in the town
       In these springlike summer days,
On my brow an unfading frown
       And hate in my heart always—

A machine out of gear, aye, tired,
Yet forced to go on—for I’m hired.

Just forced to go on through fear,
       For every day I must eat
And find ugly clothes to wear,
       And bad shoes to hurt my feet
And a shelter for work-drugged sleep!
       A mere drudge! but what can one do?
A man that’s a man cannot weep!
       Suicide? A quitter? Oh, no!

But a slave should never grow tired,
Whom the masters have kindly hired.

But oh! for the woods, the flowers
       Of natural, sweet perfume,
The heartening, summer showers
       And the smiling shrubs in bloom,
Dust-free, dew-tinted at morn,
       The fresh and life-giving air,
The billowing waves of corn
       And the birds’ notes rich and clear:—

For a man-machine toil-tired
May crave beauty too—though he’s hired."
CLAUDE MCKAY,"The Lynching
","His spirit is smoke ascended to high heaven.
His father, by the cruelest way of pain,
Had bidden him to his bosom once again;
The awful sin remained still unforgiven.
All night a bright and solitary star
(Perchance the one that ever guided him,
Yet gave him up at last to Fate's wild whim)
Hung pitifully o'er the swinging char.
Day dawned, and soon the mixed crowds came to view
The ghastly body swaying in the sun:
The women thronged to look, but never a one
Showed sorrow in her eyes of steely blue;
And little lads, lynchers that were to be,
Danced round the dreadful thing in fiendish glee.
"
CLAUDE MCKAY,"On Broadway
","About me young careless feet
Linger along the garish street;
Above, a hundred shouting signs
Shed down their bright fantastic glow
Upon the merry crowd and lines
Of moving carriages below.
Oh wonderful is Broadway — only
My heart, my heart is lonely.

Desire naked, linked with Passion,
Goes trutting by in brazen fashion;
From playhouse, cabaret and inn
The rainbow lights of Broadway blaze
All gay without, all glad within;
As in a dream I stand and gaze
At Broadway, shining Broadway — only
My heart, my heart is lonely."
CLAUDE MCKAY,Romance,"To clasp you now and feel your head close-pressed,
Scented and warm against my beating breast;

To whisper soft and quivering your name,
And drink the passion burning in your frame;

To lie at full length, taut, with cheek to cheek,
And tease your mouth with kisses till you speak

Love words, mad words, dream words, sweet senseless words,
Melodious like notes of mating birds;

To hear you ask if I shall love always,
And myself answer: Till the end of days;

To feel your easeful sigh of happiness
When on your trembling lips I murmur: Yes;

It is so sweet. We know it is not true.
What matters it? The night must shed her dew.

We know it is not true, but it is sweet—
The poem with this music is complete."
CLAUDE MCKAY,"The Snow Fairy
","   I

Throughout the afternoon I watched them there,
Snow-fairies falling, falling from the sky,
Whirling fantastic in the misty air,
Contending fierce for space supremacy.
And they flew down a mightier force at night,
As though in heaven there was revolt and riot,
And they, frail things had taken panic flight
Down to the calm earth seeking peace and quiet.
I went to bed and rose at early dawn
To see them huddled together in a heap,
Each merged into the other upon the lawn,
Worn out by the sharp struggle, fast asleep.
The sun shone brightly on them half the day,
By night they stealthily had stol’n away.


     II

And suddenly my thoughts then turned to you
Who came to me upon a winter’s night,
When snow-sprites round my attic window flew,
Your hair disheveled, eyes aglow with light.
My heart was like the weather when you came,
The wanton winds were blowing loud and long;
But you, with joy and passion all aflame,
You danced and sang a lilting summer song.
I made room for you in my little bed,
Took covers from the closet fresh and warm,
A downful pillow for your scented head,
And lay down with you resting in my arm.
You went with Dawn. You left me ere the day,
The lonely actor of a dreamy play.
"
CLAUDE MCKAY,"Subway Wind
","Far down, down through the city’s great gaunt gut
      The gray train rushing bears the weary wind;
In the packed cars the fans the crowd’s breath cut,
      Leaving the sick and heavy air behind.
And pale-cheeked children seek the upper door
      To give their summer jackets to the breeze;
Their laugh is swallowed in the deafening roar
      Of captive wind that moans for fields and seas;
Seas cooling warm where native schooners drift
      Through sleepy waters, while gulls wheel and sweep,
Waiting for windy waves the keels to lift
      Lightly among the islands of the deep;
Islands of lofty palm trees blooming white
      That led their perfume to the tropic sea,
Where fields lie idle in the dew-drenched night,
      And the Trades float above them fresh and free."
CLAUDE MCKAY,"To One Coming North
","At first you'll joy to see the playful snow,
  Like white moths trembling on the tropic air,
Or waters of the hills that softly flow
  Gracefully falling down a shining stair.
 
And when the fields and streets are covered white
  And the wind-worried void is chilly, raw,
Or underneath a spell of heat and light
  The cheerless frozen spots begin to thaw,
 
Like me you'll long for home, where birds' glad song
  Means flowering lanes and leas and spaces dry,
And tender thoughts and feelings fine and strong,
  Beneath a vivid silver-flecked blue sky.
 
But oh! more than the changeless southern isles,
  When Spring has shed upon the earth her charm,
You'll love the Northland wreathed in golden smiles
  By the miraculous sun turned glad and warm."
CLAUDE MCKAY,"The Tropics in New York
","Bananas ripe and green, and ginger-root,
      Cocoa in pods and alligator pears,
And tangerines and mangoes and grape fruit,
      Fit for the highest prize at parish fairs,

Set in the window, bringing memories
      Of fruit-trees laden by low-singing rills,
And dewy dawns, and mystical blue skies
      In benediction over nun-like hills.

My eyes grew dim, and I could no more gaze;
      A wave of longing through my body swept,
And, hungry for the old, familiar ways,
      I turned aside and bowed my head and wept."
COUNTEE CULLEN,To the Swimmer,"Now as I watch you, strong of arm and endurance, battling and struggling
With the waves that rush against you, ever with invincible strength returning
Into my heart, grown each day more tranquil and peaceful, comes a fierce longing
Of mind and soul that will not be appeased until, like you, I breast yon deep and boundless expanse of blue.

With an outward stroke of power intense your mighty arm goes forth,
Cleaving its way through waters that rise and roll, ever a ceaseless vigil keeping
Over the treasures beneath.

My heart goes out to you of dauntless courage and spirit indomitable,
And though my lips would speak, my spirit forbids me to ask,
“Is your heart as true as your arm?”
"
DUDLEY RANDALL,"Ballad of Birmingham
","(On the bombing of a church in Birmingham, Alabama, 1963)

“Mother dear, may I go downtown
Instead of out to play,
And march the streets of Birmingham
In a Freedom March today?”

“No, baby, no, you may not go,
For the dogs are fierce and wild,
And clubs and hoses, guns and jails
Aren’t good for a little child.”

“But, mother, I won’t be alone.
Other children will go with me,
And march the streets of Birmingham
To make our country free.”

“No, baby, no, you may not go,
For I fear those guns will fire.
But you may go to church instead
And sing in the children’s choir.”

She has combed and brushed her night-dark hair,
And bathed rose petal sweet,
And drawn white gloves on her small brown hands,
And white shoes on her feet.

The mother smiled to know her child
Was in the sacred place,
But that smile was the last smile
To come upon her face.

For when she heard the explosion,
Her eyes grew wet and wild.
She raced through the streets of Birmingham
Calling for her child.

She clawed through bits of glass and brick,
Then lifted out a shoe.
“O, here’s the shoe my baby wore,
But, baby, where are you?”
"
DUDLEY RANDALL,Booker T. and W.E.B.,"“It seems to me,” said Booker T.,
“It shows a mighty lot of cheek
To study chemistry and Greek
When Mister Charlie needs a hand
To hoe the cotton on his land,
And when Miss Ann looks for a cook,
Why stick your nose inside a book?”

“I don’t agree,” said W.E.B.,
“If I should have the drive to seek
Knowledge of chemistry or Greek,
I’ll do it. Charles and Miss can look
Another place for hand or cook.
Some men rejoice in skill of hand,
And some in cultivating land,
But there are others who maintain
The right to cultivate the brain.”

“It seems to me,” said Booker T.,
“That all you folks have missed the boat
Who shout about the right to vote,
And spend vain days and sleepless nights
In uproar over civil rights.
Just keep your mouths shut, do not grouse,
But work, and save, and buy a house.”

“I don’t agree,” said W.E.B.,
“For what can property avail
If dignity and justice fail.
Unless you help to make the laws,
They’ll steal your house with trumped-up clause.
A rope’s as tight, a fire as hot,
No matter how much cash you’ve got.
Speak soft, and try your little plan,
But as for me, I’ll be a man.”

“It seems to me,” said Booker T.—
“I don’t agree,”
Said W.E.B."
HAKI R. MADHUBUTI,"For the Consideration of Poets
","where is the poetry of resistance,
                     the poetry of honorable defiance
unafraid of lies from career politicians and business men,
not respectful of journalist who write
official speak void of educated thought
without double search or sub surface questions
that war talk demands?
where is the poetry of doubt and suspicion
not in the service of the state, bishops and priests,
not in the service of beautiful people and late night promises,
not in the service of influence, incompetence and academic
         clown talk?"
HAKI R. MADHUBUTI,"Gwendolyn Brooks
","she doesn’t wear
costume jewelry
& she knew that walt disney
was/is making a fortune off
false-eyelashes and that time magazine is the
authority on the knee/grow.
her makeup is total-real.

a negro english instructor called her:
       “a fine negro poet.”
a whi-te critic said:
       “she’s a credit to the negro race.”
somebody else called her;
       “a pure negro writer.”
johnnie mae, who’s a senior in high school said:
       “she and Langston are the only negro poets we’ve
       read in school and i understand her.”
pee wee used to carry one of her poems around in his
    back pocket;
       the one about being cool. that was befo pee wee
       was cooled by a cop’s warning shot.

into the sixties
a word was born . . . . . . . . BLACK
& with black came poets
& from the poet’s ball points came:
black doubleblack purpleblack blueblack beenblack was
black daybeforeyesterday blackerthan ultrablack super
black blackblack yellowblack niggerblack blackwhi-te-
       man
blackthanyoueverbes ¼ black unblack coldblack clear
black my momma’s blackerthanyourmomma pimpleblack
       fall
black so black we can’t even see you black on black in
black by black technically black mantanblack winter
black coolblack 360degreesblack coalblack midnight
black black when it’s convenient rustyblack moonblack
black starblack summerblack electronblack spaceman
black shoeshineblack jimshoeblack underwearblack ugly
black auntjimammablack, uncleben’srice black
       williebest
black blackisbeautifulblack i justdiscoveredblack negro
black unsubstanceblack.

and everywhere the
lady “negro poet”
appeared the poets were there.
they listened & questioned
& went home feeling uncomfortable/unsound & so-
       untogether
they read/re-read/wrote & rewrote
& came back the next time to tell the
lady “negro poet”
how beautiful she was/is & how she helped them
& she came back with:
       how necessary they were and how they’ve helped her.
the poets walked & as space filled the vacuum between
       them & the
lady “negro poet”
u could hear one of the blackpoets say:
       “bro, they been calling that sister by the wrong name.”"
HAKI R. MADHUBUTI,"Quality: Gwendolyn Brooks at 73
","June 7, 1990

breath,
life after seven decades plus three years
is a lot of breathing. seventy three years on this
earth is a lot of taking in and giving out, is a
life of coming from somewhere and for many a bunch
of going nowhere.

how do we celebrate a poet who has created
music with words for over fifty years, who has
showered magic on her people, who has redefined
poetry into a black world exactness
thereby giving the universe an insight into
darkroads?

just say she interprets beauty and wants to
give life, say she is patient with phoniness
and doesn’t mind people calling her gwen or sister.
say she sees the genius in our children, is visionary
about possibilities, sees as clearly as ray charles and
stevie wonder, hears like determined elephants looking
for food. say that her touch is fine wood, her memory
is like an african roadmap detailing adventure and
clarity, yet returning to chicago’s south evans
to record the journey. say her voice is majestic
and magnetic as she speaks in poetry, rhythms, song
and spirited trumpets, say she is dark skinned,
melanin rich, small-boned, hurricane-willed,
with a mind like a tornado redefining the landscape.

life after seven decades plus three years
is a lot of breathing.
gwendolyn, gwen, sister g has
not disappointed our expectations.
in the middle
of her eldership she brings us
vigorous language, memory,
illumination.

she brings breath."
HAKI R. MADHUBUTI,"Rwanda: Where Tears Have No Power
","Who has the moral high ground?

Fifteen blocks from the whitehouse
on small corners in northwest, d.c.
boys disguised as me rip each other’s hearts out
with weapons made in china. they fight for territory.

across the planet in a land where civilization was born
the boys of d.c. know nothing about their distant relatives
in Rwanda. they have never heard of the hutu or tutsi people.
their eyes draw blanks at the mention of kigali, byumba
or butare. all they know are the streets of d.c., and do not
cry at funerals anymore. numbers and frequency have a way
of making murder commonplace and not news
unless it spreads outside of our house, block, territory.

modern massacres are intraethnic. bosnia, sri lanka, burundi,
nagorno-karabakh, iraq, laos, angola, liberia, and rwanda are
small foreign names on a map made in europe. when bodies
by the tens of thousands float down a river turning the water
the color of blood, as a quarter of a million people flee barefoot
into tanzania and zaire, somehow we notice. we do not smile,
we have no more tears. we hold our thoughts. In deeply
muted silence looking south and thinking that today
nelson mandela seems much larger
than he is."
JUPITER HAMMON,"An Address to Miss Phillis Wheatley
","I
O come you pious youth! adore
    The wisdom of thy God,
In bringing thee from distant shore,
    To learn His holy word.
                                                                  Eccles. xii.

    II
Though mightst been left behind
    Amidst a dark abode;
God’s tender mercy still combined,
    Thou hast the holy word.
                                                                  Psal. cxxv. 2, 3.

    III
Fair wisdom’s ways are paths of peace,
    And they that walk therein,
Shall reap the joys that never cease,
    And Christ shall be their king.
                                                                  Psal. i. 1, 2; Prov. iii. 7.

    IV
God’s tender mercy brought thee here;
    Tossed o’er the raging main;
In Christian faith thou hast a share,
    Worth all the gold of Spain.
                                                                  Psal. ciii. 1, 3, 4.

    V
While thousands tossed by the sea,
   And others settled down,
God’s tender mercy set thee free,
   From dangers that come down.
                                                                  Death.

    VI
That thou a pattern still might be,
   To youth of Boston town,
The blessed Jesus set thee free,
   From every sinful wound.
                                                                  2 Cor. v. 10.

    VII
The blessed Jesus, who came down,
   Unveiled his sacred face,
To cleanse the soul of every wound,
   And give repenting grace.
                                                                  Rom. v. 21.

    VIII
That we poor sinners may obtain,
   The pardon of our sin;
Dear blessed Jesus now constrain,
   And bring us flocking in.
                                                                  Psal. xxxiv. 6, 7, 8.

    IX
Come you, Phillis, now aspire,
   And seek the living God,
So step by step thous mayst go higher,
   Till perfect in the word.
                                                                  Matth. vii. 7, 8.

    X
While thousands moved to distant shore,
   And others left behind,
The blessed Jesus still adore,
   Implant this in thy mind.
                                                                  Psal. lxxxix. 1.

    XI
Thous hast left the heathen shore;
   Through mercy of the Lord,
Among the heathen live no more,
   Come magnify thy God.
                                                                  Psal. xxxiv. 1, 2, 3.

    XII
I pray the living God may be,
   The shepherd of thy soul;
His tender mercies still are free,
   His mysteries to unfold.
                                                                  Psal. lxxx. 1, 2, 3.

    XIII
Thou, Phillis, when thou hunger hast,
   Or pantest for thy God;
Jesus Christ is thy relief,
   Thou hast the holy word.
                                                                  Psal. xiii. 1, 2, 3.

    XIV
The bounteous mercies of the Lord,
   Are hid beyond the sky,
And holy souls that love His word,
   Shall taste them when they die.
                                                                  Psal. xvi. 10, 11.

    XV
These bounteous mercies are from God,
   The merits of His son;
The humble soul that loves His word,
   He chooses for His own.
                                                                  Psal. xxxiv. 15.

    XVI
Come, dear Phillis, be advised,
   To drink Samaria’s flood;
There nothing that shall suffice
   But Christ’s redeeming blood.
                                                                  John iv. 13, 14.

    XVII
While thousands muse with earthly toys;
   And range about the street,
Dear Phillis, seek for heaven’s joys,
   Where we do hope to meet.
                                                                  Matth. vi. 33.

    XVIII
When God shall send his summons down,
   And number saints together,
Blest angels chant, (triumphant sound),
   Come live with me forever.
                                                                  Psal. cxvi. 15.

    XIX
The humble soul shall fly to God,
   And leave the things of time,
Start forth as ’twere at the first word,
   To taste things more divine.
                                                                  Matth. v. 3, 8.

    XX
Behold! the soul shall waft away,
   Whene’er we come to die,
And leave its cottage made of clay,
   In twinkling of an eye.
                                                                  Cor. xv. 51, 52, 53.

    XXI
Now glory be to the Most High,
   United praises given,
By all on earth, incessantly,
   And all the host of heav’n.
                                                                  Psal. cl. 6.


"
JUPITER HAMMON,"An Address to Miss Phillis Wheatly
","                         I
 
O come you pious youth! adore
    The wisdom of thy God,
In bringing thee from distant shore,
    To learn His holy word.
                                                 Eccles. xii.
 
                         II
 
Thou mightst been left behind
    Amidst a dark abode;
God’s tender mercy still combin’d,
    Thou hast the holy word.
                                         Psal. cxxxv, 2, 3.
 
                         III
 
Fair wisdom’s ways are paths of peace,
    And they that walk therein,
Shall reap the joys that never cease,
    And Christ shall be their king.
                                Psal. i, 1,2; Prov. iii, 7.
 
                         IV
 
God’s tender mercy brought thee here;
    Tost o’er the raging main;
In Christian faith thou hast a share,
    Worth all the gold of Spain.
                                        Psal. cii, 1, 3, 4.
 
                         V

 
While thousands tossed by the sea,
    And others settled down,
God’s tender mercy set thee free,
    From dangers that come down.
                                                   Death.
 
                          VI
 
That thou a pattern still might be,
    To youth of Boston town,
The blessed Jesus set thee free,
    From every sinful wound.
                                              2 Cor. v, 10.
 
                         VII

 
The blessed Jesus, who came down,
    Unvail’d his sacred face,
To cleanse the soul of every wound,
    And give repenting grace.
                                               Rom. v, 21.
 
                         VIII
 
That we poor sinners may obtain,
    The pardon of our sin;
Dear blessed Jesus now constrain,
    And bring us flocking in.
                                    Psal. xxiv, 6, 7, 8.
 
                         IX
 
Come you, Phillis, now aspire,
    And seek the living God,
So step by step thou mayst go higher,
    Till perfect in the word.
                                         Matth. vii, 7, 8.
 
                         X
 
While thousands mov’d to distant shore,
    And others left behind,
The blessed Jesus still adore,
    Implant this in thy mind.
                                            Psal. lxxxix, 1.
 
                         XI
 
Thou hast left the heathen shore;
    Thro’ mercy of the Lord,
Among the heathen live no more,
    Come magnify thy God.
                                      Psal. xxxiv, 1, 2, 3.
 
                         XII
 
I pray the living God may be,
    The shepherd of thy soul;
His tender mercies still are free,
    His mysteries to unfold.
                                         Psal. lxxx, 1, 2, 3.
 
                         XIII
 
Thou, Phillis, when thou hunger hast,
    Or pantest for thy God;
Jesus Christ is thy relief,
    Thou hast the holy word.
                                         Psal. xiii, 1, 2, 3.
 
                         XIV
 
The bounteous mercies of the Lord,
    Are hid beyond the sky,
And holy souls that love his word,
    Shall taste them when they die.
                                           Psal. xvi, 10, 11.
 
                         XV
 
These bounteous mercies are from God,
    The merits of His Son;
The humble soul that loves His word,
    He chooses for His own.
                                              Psal. xxxiv, 15.
 
                         XVI
 
Come, dear Phillis, be advis’d,
    To drink Samaria’s flood;
There nothing that shall suffice
    But Christ’s redeeming blood.
                                              John iv, 13, 14.
 
                         XVII
 
While thousands muse with earthly toys;
    And range about the street,
Dear Phillis, seek for heaven’s joys,
    Where we do hope to meet.
                                                Matth. vi, 33.
 
                         XVIII
 
When God shall send his summons down,
    And number saints together,
Blest angels chant, (triumphant sound),
    Come live with me forever.
                                               Psal. cxvi, 15.
 
                         XIX
 
The humble soul shall fly to God,
    And leave the things of time,
Start forth as ’twere at the first word,
    To taste things more divine.
                                              Matth. v, 3, 8.
 
                         XX
 
Behold! the soul shall waft away,
    Whene’er we come to die,
And leave its cottage made of clay,
    In twinkling of an eye.
                                    Cor. xv, 51, 52, 53.
 
                         XXI
 
Now glory be to the Most High,
    United praises given,
By all on earth, incessantly,
    And all the host of heav’n.
                                            Psal. cl, 6."
